collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: StrangeBar
centrality: 30-40%
  5.0000000000 5.5138156777 0.1819630301
  5.0000000000 5.6420439493 0.1931366740
  5.0000000000 5.7702722209 0.2026742358
  5.0000000000 5.8985004925 0.2119619641
  5.0000000000 6.0267287640 0.2191172781
  5.0000000000 6.1549570356 0.2237203493
  5.0000000000 6.2831853072 0.2252960188
  8.9183673469 0.0000000000 0.2693147341
  8.9183673469 0.1282282716 0.2675519048
  8.9183673469 0.2564565432 0.2626259465
  8.9183673469 0.3846848147 0.2548904532
  8.9183673469 0.5129130863 0.2446660457
  8.9183673469 0.6411413579 0.2340862498
  8.9183673469 0.7693696295 0.2220171764
  8.9183673469 0.8975979010 0.2114090725
  8.9183673469 1.0258261726 0.2022274638
  8.9183673469 1.1540544442 0.1948425993
  8.9183673469 1.2822827158 0.1892417042
  8.9183673469 1.4105109873 0.1860062837
  8.9183673469 1.5387392589 0.1845508620
  8.9183673469 1.6669675305 0.1850646153
  8.9183673469 1.7951958021 0.1871480490
  8.9183673469 1.9234240736 0.1915609944
  8.9183673469 2.0516523452 0.1977297786
  8.9183673469 2.1798806168 0.2064747942
  8.9183673469 2.3081088884 0.2167202402
  8.9183673469 2.4363371599 0.2280235977
  8.9183673469 2.5645654315 0.2393674549
  8.9183673469 2.6927937031 0.2505068658
  8.9183673469 2.8210219747 0.2594604394
  8.9183673469 2.9492502462 0.2656071006
  8.9183673469 3.0774785178 0.2690121845
  8.9183673469 3.2057067894 0.2690121845
  8.9183673469 3.3339350610 0.2656071006
  8.9183673469 3.4621633325 0.2594604394
  8.9183673469 3.5903916041 0.2505068658
  8.9183673469 3.7186198757 0.2393674549
  8.9183673469 3.8468481473 0.2280235977
  8.9183673469 3.9750764188 0.2167202402
  8.9183673469 4.1033046904 0.2064747942
  8.9183673469 4.2315329620 0.1977297786
  8.9183673469 4.3597612336 0.1915609944
  8.9183673469 4.4879895051 0.1871480490
  8.9183673469 4.6162177767 0.1850646153
  8.9183673469 4.7444460483 0.1845508620
  8.9183673469 4.8726743199 0.1860062837
  8.9183673469 5.0009025914 0.1892417042
  8.9183673469 5.1291308630 0.1948425993
  8.9183673469 5.2573591346 0.2022274638
  8.9183673469 5.3855874062 0.2114090725
  8.9183673469 5.5138156777 0.2220171764
  8.9183673469 5.6420439493 0.2340862498
  8.9183673469 5.7702722209 0.2446660457
  8.9183673469 5.8985004925 0.2548904532
  8.9183673469 6.0267287640 0.2626259465
  8.9183673469 6.1549570356 0.2675519048
  8.9183673469 6.2831853072 0.2693147341
 12.8367346939 0.0000000000 0.3220838873
 12.8367346939 0.1282282716 0.3201701391
 12.8367346939 0.2564565432 0.3148314106
 12.8367346939 0.3846848147 0.3064220209
 12.8367346939 0.5129130863 0.2952532833
 12.8367346939 0.6411413579 0.2835968161
 12.8367346939 0.7693696295 0.2705149749
 12.8367346939 0.8975979010 0.2587338435
 12.8367346939 1.0258261726 0.2486211972
 12.8367346939 1.1540544442 0.2406180620
 12.8367346939 1.2822827158 0.2345561193
 12.8367346939 1.4105109873 0.2310492732
 12.8367346939 1.5387392589 0.2295156659
 12.8367346939 1.6669675305 0.2300631044
 12.8367346939 1.7951958021 0.2324123651
 12.8367346939 1.9234240736 0.2370447874
 12.8367346939 2.0516523452 0.2438238097
 12.8367346939 2.1798806168 0.2532972894
 12.8367346939 2.3081088884 0.2645271905
 12.8367346939 2.4363371599 0.2769540456
 12.8367346939 2.5645654315 0.2894124019
 12.8367346939 2.6927937031 0.3015820524
 12.8367346939 2.8210219747 0.3113265736
 12.8367346939 2.9492502462 0.3180921134
 12.8367346939 3.0774785178 0.3217161786
 12.8367346939 3.2057067894 0.3217161786
 12.8367346939 3.3339350610 0.3180921134
 12.8367346939 3.4621633325 0.3113265736
 12.8367346939 3.5903916041 0.3015820524
 12.8367346939 3.7186198757 0.2894124019
 12.8367346939 3.8468481473 0.2769540456
 12.8367346939 3.9750764188 0.2645271905
 12.8367346939 4.1033046904 0.2532972894
 12.8367346939 4.2315329620 0.2438238097
 12.8367346939 4.3597612336 0.2370447874
 12.8367346939 4.4879895051 0.2324123651
 12.8367346939 4.6162177767 0.2300631044
 12.8367346939 4.7444460483 0.2295156659
