collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: UpBar
centrality: 30-40%
  5.0000000000 5.6420439493 0.1926899077
  5.0000000000 5.7702722209 0.2022325837
  5.0000000000 5.8985004925 0.2115026548
  5.0000000000 6.0267287640 0.2186536694
  5.0000000000 6.1549570356 0.2232526425
  5.0000000000 6.2831853072 0.2248241097
  8.9183673469 0.0000000000 0.2685577076
  8.9183673469 0.1282282716 0.2668054887
  8.9183673469 0.2564565432 0.2619079894
  8.9183673469 0.3846848147 0.2541987075
  8.9183673469 0.5129130863 0.2440232690
  8.9183673469 0.6411413579 0.2334907249
  8.9183673469 0.7693696295 0.2214734109
  8.9183673469 0.8975979010 0.2109136838
  8.9183673469 1.0258261726 0.2017798434
  8.9183673469 1.1540544442 0.1944253287
  8.9183673469 1.2822827158 0.1888448274
  8.9183673469 1.4105109873 0.1856261806
  8.9183673469 1.5387392589 0.1841786682
  8.9183673469 1.6669675305 0.1846912032
  8.9183673469 1.7951958021 0.1867601118
  8.9183673469 1.9234240736 0.1911539239
  8.9183673469 2.0516523452 0.1972982945
  8.9183673469 2.1798806168 0.2060041828
  8.9183673469 2.3081088884 0.2162031519
  8.9183673469 2.4363371599 0.2274580300
  8.9183673469 2.5645654315 0.2387512446
  8.9183673469 2.6927937031 0.2498357818
  8.9183673469 2.8210219747 0.2587574704
  8.9183673469 2.9492502462 0.2648695802
  8.9183673469 3.0774785178 0.2682612924
  8.9183673469 3.2057067894 0.2682612924
  8.9183673469 3.3339350610 0.2648695802
  8.9183673469 3.4621633325 0.2587574704
  8.9183673469 3.5903916041 0.2498357818
  8.9183673469 3.7186198757 0.2387512446
  8.9183673469 3.8468481473 0.2274580300
  8.9183673469 3.9750764188 0.2162031519
  8.9183673469 4.1033046904 0.2060041828
  8.9183673469 4.2315329620 0.1972982945
  8.9183673469 4.3597612336 0.1911539239
  8.9183673469 4.4879895051 0.1867601118
  8.9183673469 4.6162177767 0.1846912032
  8.9183673469 4.7444460483 0.1841786682
  8.9183673469 4.8726743199 0.1856261806
  8.9183673469 5.0009025914 0.1888448274
  8.9183673469 5.1291308630 0.1944253287
  8.9183673469 5.2573591346 0.2017798434
  8.9183673469 5.3855874062 0.2109136838
  8.9183673469 5.5138156777 0.2214734109
  8.9183673469 5.6420439493 0.2334907249
  8.9183673469 5.7702722209 0.2440232690
  8.9183673469 5.8985004925 0.2541987075
  8.9183673469 6.0267287640 0.2619079894
  8.9183673469 6.1549570356 0.2668054887
  8.9183673469 6.2831853072 0.2685577076
 12.8367346939 0.0000000000 0.3212560374
 12.8367346939 0.1282282716 0.3193475329
 12.8367346939 0.2564565432 0.3140250275
 12.8367346939 0.3846848147 0.3056574630
 12.8367346939 0.5129130863 0.2945300309
 12.8367346939 0.6411413579 0.2829212358
