collision_system: Pb+Pb
collision_energy: 5.02TeV
particle_type: Strange
centrality: 30-40%
xB = 0.4
average_path-lengths: 5.200829, 4.722707, 5.573215
average_temperatures: 0.215532, 0.213914, 0.218500
number_of_angles:      50
number_of_grid_points: 40, 40
--------------------------------------------------------
    pT [GeV]       phi          R_AA   
  5.0000000000 0.0000000000 0.2274213808
  5.0000000000 0.1282282716 0.2258332846
  5.0000000000 0.2564565432 0.2212081465
  5.0000000000 0.3846848147 0.2140088353
  5.0000000000 0.5129130863 0.2046630413
  5.0000000000 0.6411413579 0.1950471548
  5.0000000000 0.7693696295 0.1838038221
  5.0000000000 0.8975979010 0.1742211787
  5.0000000000 1.0258261726 0.1658948956
  5.0000000000 1.1540544442 0.1589478297
  5.0000000000 1.2822827158 0.1537791475
  5.0000000000 1.4105109873 0.1508541376
  5.0000000000 1.5387392589 0.1494944916
  5.0000000000 1.6669675305 0.1499811146
  5.0000000000 1.7951958021 0.1517284030
  5.0000000000 1.9234240736 0.1558982108
  5.0000000000 2.0516523452 0.1614877495
  5.0000000000 2.1798806168 0.1697870763
  5.0000000000 2.3081088884 0.1791366077
  5.0000000000 2.4363371599 0.1894813231
  5.0000000000 2.5645654315 0.1998686500
  5.0000000000 2.6927937031 0.2100659662
  5.0000000000 2.8210219747 0.2183899870
  5.0000000000 2.9492502462 0.2239971251
  5.0000000000 3.0774785178 0.2272200769
  5.0000000000 3.2057067894 0.2272200769
  5.0000000000 3.3339350610 0.2239971251
  5.0000000000 3.4621633325 0.2183899870
  5.0000000000 3.5903916041 0.2100659662
  5.0000000000 3.7186198757 0.1998686500
  5.0000000000 3.8468481473 0.1894813231
  5.0000000000 3.9750764188 0.1791366077
  5.0000000000 4.1033046904 0.1697870763
  5.0000000000 4.2315329620 0.1614877495
  5.0000000000 4.3597612336 0.1558982108
  5.0000000000 4.4879895051 0.1517284030
  5.0000000000 4.6162177767 0.1499811146
  5.0000000000 4.7444460483 0.1494944916
  5.0000000000 4.8726743199 0.1508541376
  5.0000000000 5.0009025914 0.1537791475
  5.0000000000 5.1291308630 0.1589478297
  5.0000000000 5.2573591346 0.1658948956
  5.0000000000 5.3855874062 0.1742211787
  5.0000000000 5.5138156777 0.1838038221
